Time(s)	RBGK5(1,24)	RBGK5(2,24)	RBGK5(3,24)
 1.6740001e+02	 1.7742160e+02	 1.7742146e+02	 1.7742139e+02
 1.6750000e+02	 1.7741580e+02	 1.7741566e+02	 1.7741559e+02
 1.6760002e+02	 1.7741000e+02	 1.7740987e+02	 1.7740979e+02
 1.6770000e+02	 1.7740421e+02	 1.7740407e+02	 1.7740401e+02
 1.6780000e+02	 1.7739841e+02	 1.7739827e+02	 1.7739821e+02
 1.6790001e+02	 1.7739261e+02	 1.7739247e+02	 1.7739241e+02
 1.6800005e+02	 1.7738681e+02	 1.7738667e+02	 1.7738661e+02
 1.6810002e+02	 1.7738101e+02	 1.7738087e+02	 1.7738081e+02
 1.6820003e+02	 1.7737521e+02	 1.7737508e+02	 1.7737502e+02
 1.6830003e+02	 1.7736942e+02	 1.7736928e+02	 1.7736922e+02
 1.6840002e+02	 1.7736362e+02	 1.7736348e+02	 1.7736342e+02
 1.6850000e+02	 1.7735782e+02	 1.7735768e+02	 1.7735762e+02
 1.6860008e+02	 1.7735202e+02	 1.7735188e+02	 1.7735182e+02
 1.6870001e+02	 1.7734622e+02	 1.7734608e+02	 1.7734602e+02
 1.6880006e+02	 1.7734042e+02	 1.7734029e+02	 1.7734023e+02
 1.6890001e+02	 1.7733463e+02	 1.7733449e+02	 1.7733443e+02
 1.6900002e+02	 1.7732883e+02	 1.7732869e+02	 1.7732863e+02
 1.6910005e+02	 1.7732303e+02	 1.7732289e+02	 1.7732283e+02
 1.6920010e+02	 1.7731721e+02	 1.7731709e+02	 1.7731703e+02
 1.6930003e+02	 1.7731143e+02	 1.7731129e+02	 1.7731123e+02
 1.6940005e+02	 1.7730563e+02	 1.7730550e+02	 1.7730544e+02
 1.6950003e+02	 1.7729984e+02	 1.7729970e+02	 1.7729964e+02
 1.6960005e+02	 1.7729402e+02	 1.7729390e+02	 1.7729384e+02
 1.6970004e+02	 1.7728822e+02	 1.7728810e+02	 1.7728804e+02
 1.6980008e+02	 1.7728242e+02	 1.7728230e+02	 1.7728223e+02
 1.6990001e+02	 1.7727663e+02	 1.7727650e+02	 1.7727644e+02
 1.7000003e+02	 1.7709987e+02	 1.7709975e+02	 1.7709967e+02
